"jaar";"gemeentecode";"gemeentenaam";"Risicogroep_aantal";"Risicogroep_aandeel";"Instroomkans"
2018;"GM0397";"Heemstede";310;1,5;5,5
2018;"GM0398";"Heerhugowaard";880;2,2;6,1
2018;"GM0399";"Heiloo";260;1,4;5,7
2018;"GM0400";"Den Helder";1200;2,9;6,2
2018;"GM0402";"Hilversum";1860;2,9;7,5
2018;"GM0405";"Hoorn";1610;3,1;7,3
2018;"GM0406";"Huizen";760;2,5;6,2
2018;"GM0415";"Landsmeer";210;2,4;5,3
2018;"GM0416";"Langedijk";370;1,7;4,9
2018;"GM0417";"Laren";180;2,2;7,8
2018;"GM0420";"Medemblik";650;2;7,7
2018;"GM0431";"Oostzaan";140;1,9;10
2018;"GM0432";"Opmeer";120;1,3;
2018;"GM0437";"Ouder-Amstel";210;2,1;5,9
2018;"GM0439";"Purmerend";1520;2,6;7,3
2018;"GM0441";"Schagen";580;1,6;3,8
2018;"GM0448";"Texel";240;2,3;
2018;"GM0450";"Uitgeest";150;1,4;8,7
2018;"GM0451";"Uithoorn";480;2,2;10,5
2018;"GM0453";"Velsen";1090;2,2;7,4
2018;"GM0457";"Weesp";360;2,5;5,4
2018;"GM0473";"Zandvoort";480;3,8;6,8
2018;"GM0479";"Zaanstad";3550;3,2;6,8
2018;"GM0482";"Alblasserdam";260;1,8;6,2
2018;"GM0484";"Alphen aan den Rijn";1490;1,8;6,1
2018;"GM0489";"Barendrecht";670;1,9;6,6
2018;"GM0498";"Drechterland";230;1,5;5,3
2018;"GM0501";"Brielle";240;1,8;5,4
2018;"GM0502";"Capelle aan den IJssel";1420;3;6,8
2018;"GM0503";"Delft";2220;2,9;6,2
2018;"GM0505";"Dordrecht";2470;2,9;8,6
2018;"GM0512";"Gorinchem";720;2,8;6,1
2018;"GM0513";"Gouda";1530;2,9;7,4
2018;"GM0518";"'s-Gravenhage";18180;5,2;7,6
2018;"GM0523";"Hardinxveld-Giessendam";150;1,1;
2018;"GM0530";"Hellevoetsluis";620;2,1;7
2018;"GM0531";"Hendrik-Ido-Ambacht";370;1,7;3
2018;"GM0532";"Stede Broec";290;1,8;5,4
2018;"GM0534";"Hillegom";330;2;4,5
2018;"GM0537";"Katwijk";780;1,6;6,9
2018;"GM0542";"Krimpen aan den IJssel";440;2;5,7
2018;"GM0546";"Leiden";2770;2,9;6
2018;"GM0547";"Leiderdorp";350;1,7;4,5
2018;"GM0553";"Lisse";280;1,6;7
2018;"GM0556";"Maassluis";640;2,7;6,6
2018;"GM0569";"Nieuwkoop";300;1,4;4,7
2018;"GM0575";"Noordwijk";650;2;5,4
2018;"GM0579";"Oegstgeest";300;1,7;5
2018;"GM0589";"Oudewater";110;1,4;
2018;"GM0590";"Papendrecht";390;1,6;7,6
2018;"GM0597";"Ridderkerk";720;2,1;7,5
2018;"GM0599";"Rotterdam";22060;5,2;7,6
2018;"GM0603";"Rijswijk";1190;3,1;6
2018;"GM0606";"Schiedam";2280;4,3;7,6
2018;"GM0610";"Sliedrecht";360;2;5,9
2018;"GM0613";"Albrandswaard";290;1,6;5,2
2018;"GM0614";"Westvoorne";200;1,7;
2018;"GM0622";"Vlaardingen";1630;3,2;8,8
2018;"GM0626";"Voorschoten";370;2;7
2018;"GM0627";"Waddinxveen";430;2,1;5,3
2018;"GM0629";"Wassenaar";530;2,8;4,3
2018;"GM0632";"Woerden";650;1,7;5,2
2018;"GM0637";"Zoetermeer";2550;2,8;7,1
2018;"GM0638";"Zoeterwoude";70;1,1;
2018;"GM0642";"Zwijndrecht";880;2,7;6,9
2018;"GM0654";"Borsele";260;1,5;6,5
2018;"GM0664";"Goes";590;2,1;6,8
2018;"GM0668";"West Maas en Waal";230;1,6;6,8
2018;"GM0677";"Hulst";310;1,4;6,8
2018;"GM0678";"Kapelle";130;1,4;
2018;"GM0687";"Middelburg";770;2,1;7,4
2018;"GM0703";"Reimerswaal";300;1,9;7,4
2018;"GM0715";"Terneuzen";860;2,1;5,6
2018;"GM0716";"Tholen";350;1,8;3,8
2018;"GM0717";"Veere";220;1,3;6,3
2018;"GM0718";"Vlissingen";920;2,8;6,3
2018;"GM0736";"De Ronde Venen";720;2,1;4
2018;"GM0737";"Tytsjerksteradiel";360;1,5;6,4
2018;"GM0743";"Asten";210;1,6;6,1
2018;"GM0744";"Baarle-Nassau";100;1,9;
2018;"GM0748";"Bergen op Zoom";1530;3,2;5,5
2018;"GM0753";"Best";380;1,7;6,6
2018;"GM0755";"Boekel";110;1,4;
2018;"GM0756";"Boxmeer";300;1,3;7,1
2018;"GM0757";"Boxtel";410;1,8;8,3
2018;"GM0758";"Breda";3440;2,5;7
2018;"GM0762";"Deurne";390;1,6;5,3
2018;"GM0765";"Pekela";280;3,2;6,8
2018;"GM0766";"Dongen";310;1,6;5,8
2018;"GM0770";"Eersel";170;1,1;6,1
2018;"GM0772";"Eindhoven";5280;3,1;5,7
2018;"GM0777";"Etten-Leur";690;2,1;7
2018;"GM0779";"Geertruidenberg";300;1,9;5
2018;"GM0784";"Gilze en Rijen";360;1,8;7,2
2018;"GM0785";"Goirle";280;1,5;4
2018;"GM0786";"Grave";200;2,2;
2018;"GM0788";"Haaren";150;1,4;6,7
2018;"GM0794";"Helmond";2200;3,4;6,4
2018;"GM0796";"'s-Hertogenbosch";3220;2,8;6,2
2018;"GM0797";"Heusden";670;2;6,2
2018;"GM0798";"Hilvarenbeek";130;1,1;
2018;"GM0809";"Loon op Zand";310;1,7;8,1
2018;"GM0815";"Mill en Sint Hubert";120;1,4;
2018;"GM0820";"Nuenen, Gerwen en Nederwetten";320;1,8;4,4
2018;"GM0823";"Oirschot";160;1,1;9,6
2018;"GM0824";"Oisterwijk";370;1,9;4,6
2018;"GM0826";"Oosterhout";1010;2,4;6,3
2018;"GM0828";"Oss";1680;2,5;6,5
2018;"GM0840";"Rucphen";350;2;4,8
2018;"GM0845";"Sint-Michielsgestel";280;1,3;
2018;"GM0847";"Someren";230;1,5;
2018;"GM0848";"Son en Breugel";170;1,4;7,5
2018;"GM0851";"Steenbergen";330;1,8;7,3
2018;"GM0852";"Waterland";220;1,6;
2018;"GM0855";"Tilburg";4660;3;8,3
2018;"GM0856";"Uden";700;2,2;5,1
2018;"GM0858";"Valkenswaard";410;1,7;5,9
2018;"GM0861";"Veldhoven";550;1,6;4
2018;"GM0865";"Vught";350;1,8;4,3
2018;"GM0866";"Waalre";230;1,7;
2018;"GM0867";"Waalwijk";820;2,3;6
2018;"GM0873";"Woensdrecht";250;1,5;8,2
2018;"GM0879";"Zundert";300;1,8;8,1
2018;"GM0880";"Wormerland";220;1,8;8,1
2018;"GM0882";"Landgraaf";770;2,7;6,3
2018;"GM0888";"Beek";220;1,7;4,6
2018;"GM0889";"Beesel";160;1,6;
2018;"GM0893";"Bergen (L.)";170;1,6;7,7
2018;"GM0899";"Brunssum";580;2,7;5,6
2018;"GM0907";"Gennep";210;1,6;10,7
2018;"GM0917";"Heerlen";2410;3,9;6,8
2018;"GM0928";"Kerkrade";1090;3,3;7,5
2018;"GM0935";"Maastricht";2810;3,1;5,4
2018;"GM0938";"Meerssen";220;1,5;5
2018;"GM0944";"Mook en Middelaar";100;1,6;
2018;"GM0946";"Nederweert";170;1,3;
2018;"GM0957";"Roermond";1330;3,1;6,7
2018;"GM0965";"Simpelveld";130;1,6;7,5
2018;"GM0971";"Stein";270;1,3;5,6
2018;"GM0981";"Vaals";240;3,2;5,5
2018;"GM0983";"Venlo";2110;2,8;6,3
2018;"GM0984";"Venray";710;2,2;5,4
2018;"GM0986";"Voerendaal";170;1,7;6,4
2018;"GM0988";"Weert";750;2;6,4
2018;"GM0994";"Valkenburg aan de Geul";260;2;
2018;"GM0995";"Lelystad";1820;3,6;7,2
2018;"GM1507";"Horst aan de Maas";390;1,2;4,1
2018;"GM1509";"Oude IJsselstreek";580;1,9;4,5
2018;"GM1525";"Teylingen";460;1,7;6,5
2018;"GM1581";"Utrechtse Heuvelrug";710;1,9;6,7
2018;"GM1586";"Oost Gelre";270;1,2;
2018;"GM1598";"Koggenland";250;1,4;4
2018;"GM1621";"Lansingerland";810;1,8;5,5
2018;"GM1640";"Leudal";320;1,1;5,3
2018;"GM1641";"Maasgouw";290;1,6;5,9
